distance_km,hour_of_day,is_peak_hour,organ_priority_weight,eta_minutes
12.789,11,1,0.9,48.64
26.463,23,0,0.3,67.43
34.059,0,0,1.0,72.59
36.743,0,0,0.3,85.92
886.501,9,1,0.7,165.96
8.799,14,0,0.3,36.25
1377.942,13,0,0.9,208.1
25.84,4,0,0.3,67.09
26.274,4,0,0.3,65.21
28.979,6,0,0.7,73.03
955.648,20,1,0.9,211.39
614.679,3,0,0.9,141.74
16.638,22,0,1.0,35.54
14.568,5,0,1.0,41.56
234.945,21,1,0.7,107.86
1182.567,16,0,0.9,219.96
9.839,17,1,0.9,37.63
732.422,9,1,1.0,165.1
740.407,4,0,1.0,141.21
1033.663,4,0,0.9,207.77
13.926,4,0,1.0,36.26
13.004,1,0,0.3,40.14
1900.444,14,0,0.7,239.87
9.745,23,0,1.0,29.09
1002.659,20,1,0.7,204.65
4.823,15,0,0.3,21.23
4.306,4,0,0.7,22.4
16.865,23,0,0.9,41.4
1989.675,20,1,0.3,316.06
1163.686,4,0,1.0,190.57
958.524,16,0,1.0,198.01
12.739,5,0,1.0,38.79
1352.782,6,0,0.3,275.81
24.96,9,1,0.3,84.11
15.429,1,0,0.7,48.47
1075.869,3,0,0.7,202.99
7.59,12,0,0.3,27.43
24.687,0,0,0.7,74.45
22.574,15,0,0.7,52.36
22.888,4,0,0.9,57.96
243.433,5,0,0.9,130.24
9.362,12,0,0.3,35.81
19.497,12,0,0.9,51.84
1884.977,0,0,0.3,293.31
18.058,3,0,0.7,48.24
27.885,12,0,0.7,68.44
3.434,21,1,0.7,22.93
1545.103,22,0,0.7,270.3
273.244,5,0,1.0,120.76
17.691,13,0,0.7,40.3
18.538,2,0,0.3,53.41
14.801,23,0,0.7,46.23
14.436,12,0,0.3,44.19
27.648,12,0,0.7,60.77
5.321,22,0,1.0,23.81
461.25,17,1,1.0,122.26
15.755,23,0,0.9,40.91
1576.557,13,0,0.7,236.6
4.805,13,0,0.7,20.68
23.131,23,0,0.7,55.66
18.337,15,0,0.7,53.33
16.309,15,0,0.3,42.47
1461.116,3,0,0.3,278.01
11.276,11,1,0.7,36.87
23.097,14,0,0.3,54.99
10.2,3,0,0.7,38.83
233.686,22,0,1.0,134.41
9.779,15,0,0.7,26.35
12.396,17,1,0.3,59.52
25.7,2,0,1.0,63.34
931.844,14,0,0.7,163.94
23.545,12,0,0.9,61.08
1246.304,22,0,1.0,192.43
10.076,13,0,0.7,30.59
21.747,8,1,0.9,72.15
17.149,18,1,0.9,56.51
1937.862,0,0,0.7,365.68
11.867,2,0,0.3,31.33
1977.386,11,1,0.7,297.49
2.953,23,0,1.0,17.86
21.429,6,0,1.0,48.85
0.652,8,1,1.0,13.5
1475.751,8,1,0.9,206.64
4.086,21,1,0.3,27.03
1519.783,8,1,0.9,232.91
8.42,19,1,1.0,32.22
12.731,9,1,1.0,54.64
1745.982,17,1,0.3,337.32
957.054,7,0,1.0,200.91
118.412,23,0,0.9,75.93
5.184,9,1,0.3,28.62
5.954,14,0,0.7,24.72
25.385,23,0,0.3,65.49
11.604,9,1,0.7,41.1
2081.125,12,0,1.0,296.58
21.275,17,1,0.3,90.85
37.47,22,0,0.9,75.35
6.626,14,0,1.0,20.11
21.95,15,0,0.9,58.68
6.571,15,0,0.9,22.04
15.093,9,1,1.0,59.47
1354.405,19,1,0.9,201.65
12.43,18,1,0.3,54.35
1309.337,11,1,0.9,197.07
291.76,2,0,1.0,122.99
14.323,21,1,1.0,52.56
1977.258,11,1,1.0,275.25
3.464,6,0,1.0,21.03
400.131,1,0,1.0,110.61
11.289,17,1,0.9,49.44
17.19,13,0,0.3,54.81
903.55,17,1,1.0,186.38
593.61,12,0,1.0,169.97
4.536,6,0,0.9,20.49
26.649,8,1,0.9,84.13
38.936,6,0,1.0,91.28
32.832,18,1,0.3,132.49
6.158,9,1,0.7,29.36
8.0,7,0,1.0,29.19
13.568,2,0,1.0,43.55
952.197,1,0,0.3,203.41
10.858,16,0,0.7,40.32
15.309,12,0,0.3,45.49
1984.656,18,1,1.0,278.8
959.411,2,0,0.9,188.58
15.858,7,0,1.0,40.97
13.675,22,0,1.0,36.29
1594.171,23,0,0.3,312.56
26.81,5,0,0.7,66.28
16.701,21,1,0.9,53.47
24.005,5,0,0.3,66.51
15.851,1,0,0.3,50.36
19.608,15,0,1.0,47.24
7.89,3,0,0.7,28.13
7.511,7,0,0.7,26.93
9.23,14,0,0.7,33.96
35.601,9,1,0.9,116.86
1748.338,3,0,0.3,248.36
14.129,4,0,1.0,38.29
1096.994,8,1,0.9,230.94
23.031,16,0,0.9,54.96
13.214,2,0,1.0,38.66
602.759,21,1,0.3,159.12
10.449,19,1,0.3,50.19
3.476,11,1,0.7,24.67
3.441,4,0,0.3,25.58
842.844,10,1,0.7,197.14
22.823,14,0,1.0,49.82
6.182,10,1,1.0,36.04
22.942,15,0,1.0,62.14
4.937,6,0,1.0,26.25
1368.186,0,0,0.9,237.95
26.8,21,1,1.0,87.51
354.142,12,0,0.7,137.37
23.692,4,0,0.7,51.76
4.991,1,0,0.7,25.18
6.218,20,1,1.0,25.03
29.226,13,0,0.3,85.61
20.572,16,0,0.7,52.6
24.461,7,0,0.7,67.22
1461.746,15,0,0.7,275.14
9.334,10,1,0.9,40.68
372.082,20,1,0.7,156.9
13.272,13,0,0.7,34.72
27.873,20,1,0.7,90.34
927.512,22,0,0.7,184.09
1394.597,5,0,0.9,238.89
16.783,18,1,1.0,59.61
13.029,1,0,1.0,34.76
1384.69,16,0,0.7,225.14
23.263,2,0,0.7,58.9
7.696,7,0,0.7,22.36
17.419,13,0,0.9,41.56
17.324,17,1,1.0,70.71
8.089,10,1,0.9,39.99
15.435,12,0,0.7,47.15
29.104,5,0,0.7,64.77
9.335,8,1,0.7,43.39
16.781,21,1,0.3,54.01
19.491,3,0,1.0,54.77
926.188,18,1,0.7,160.26
922.737,20,1,1.0,194.88
13.102,15,0,1.0,42.6
1556.262,17,1,1.0,219.03
18.344,14,0,0.3,51.06
16.064,11,1,1.0,66.21
1903.594,2,0,0.9,308.81
1176.712,8,1,0.7,206.54
18.984,3,0,0.9,44.1
24.188,7,0,1.0,58.36
513.182,10,1,0.7,130.33
8.618,11,1,0.7,38.94
15.298,14,0,1.0,37.3
1232.516,2,0,0.3,253.7
14.715,14,0,1.0,44.57
18.339,4,0,0.3,51.95
8.762,1,0,0.3,27.47
1612.276,0,0,0.3,275.08
1623.434,10,1,0.3,279.53
14.364,6,0,1.0,38.7
31.253,21,1,0.7,101.08
23.335,6,0,0.7,54.14
918.002,4,0,0.9,178.2
21.308,22,0,1.0,57.86
32.666,2,0,0.7,81.75
28.624,0,0,0.7,73.72
32.29,4,0,1.0,66.63
10.323,6,0,0.7,29.44
1384.745,22,0,1.0,204.24
14.999,16,0,1.0,41.1
21.601,6,0,1.0,49.64
11.676,5,0,1.0,32.0
20.008,3,0,0.7,50.67
10.617,14,0,0.3,32.27
10.705,6,0,0.7,35.66
11.344,1,0,1.0,30.72
1037.586,23,0,0.7,199.19
11.835,2,0,1.0,31.56
12.599,10,1,0.7,54.15
2006.567,11,1,1.0,296.77
30.247,0,0,0.7,76.58
22.683,7,0,1.0,54.82
1476.667,20,1,1.0,235.14
18.252,19,1,1.0,71.66
158.622,2,0,0.3,98.86
15.259,13,0,0.7,44.36
11.593,7,0,0.7,37.13
13.556,0,0,1.0,36.92
6.227,21,1,0.9,32.63
20.44,21,1,1.0,76.98
33.833,17,1,0.9,113.9
11.547,8,1,1.0,40.88
9.163,3,0,0.9,33.98
1374.056,8,1,0.7,221.27
1069.931,13,0,1.0,191.77
15.266,21,1,0.9,60.04
14.701,18,1,0.7,55.13
1764.746,11,1,0.7,267.71
1185.077,14,0,0.7,228.76
16.252,7,0,0.7,46.75
880.441,16,0,0.7,189.14
1503.73,8,1,0.9,267.95
7.515,0,0,0.9,29.4
1569.178,21,1,0.7,237.63
2304.621,20,1,0.7,320.74
14.917,15,0,0.7,48.41
8.024,3,0,0.9,24.6
24.826,15,0,0.7,58.63
12.745,19,1,0.7,50.12
11.063,13,0,0.3,34.94
16.298,7,0,0.9,48.44
1385.421,23,0,0.9,232.62
25.554,19,1,0.9,90.0
1616.583,10,1,0.3,257.22
3.621,4,0,1.0,20.53
28.294,5,0,1.0,60.75
17.65,13,0,1.0,47.88
9.18,6,0,0.7,30.92
21.494,19,1,1.0,79.63
0.356,20,1,1.0,10.59
22.448,5,0,1.0,51.31
2.339,0,0,0.9,20.25
15.815,13,0,0.3,50.54
20.239,16,0,1.0,55.25
15.402,18,1,1.0,54.05
19.701,5,0,0.7,48.06
744.676,23,0,0.9,183.45
2.94,18,1,0.7,25.42
119.188,22,0,0.7,87.84
505.763,0,0,1.0,149.67
838.528,4,0,0.7,173.52
5.052,9,1,1.0,25.52
592.386,8,1,0.9,167.48
27.168,15,0,1.0,62.78
33.273,12,0,0.7,77.74
16.888,11,1,0.7,62.73
9.772,4,0,0.9,33.52
1912.304,7,0,0.9,277.02
19.34,20,1,0.7,69.83
15.335,18,1,0.9,60.35
8.854,16,0,0.3,33.2
1622.212,22,0,0.9,272.38
14.148,19,1,0.7,61.37
1302.553,3,0,0.9,227.08
18.043,23,0,0.7,49.27
1094.874,19,1,0.3,206.1
17.884,12,0,1.0,43.0
14.065,12,0,0.7,43.39
12.137,19,1,0.7,47.08
20.272,4,0,0.9,52.66
13.038,12,0,0.7,39.1
13.719,19,1,1.0,49.49
25.737,14,0,0.3,67.85
929.32,3,0,0.3,184.39
12.804,3,0,0.9,31.3
14.486,13,0,1.0,34.85
16.712,11,1,1.0,55.12
17.667,13,0,0.9,43.47
12.049,0,0,0.7,37.58
1.752,9,1,1.0,19.18
19.715,22,0,0.7,42.92
28.183,6,0,0.3,75.92
7.284,21,1,0.7,35.24
1358.638,16,0,0.3,252.96
19.508,6,0,1.0,51.79
1975.156,17,1,0.7,273.95
26.508,18,1,0.7,99.58
21.362,1,0,1.0,47.96
20.468,17,1,1.0,63.64
27.029,4,0,1.0,72.03
13.432,21,1,1.0,49.15
892.496,14,0,0.7,202.75
23.465,20,1,0.7,75.99
15.812,15,0,0.7,43.36
28.623,12,0,1.0,61.74
13.868,2,0,0.7,40.18
14.231,12,0,0.9,33.84
11.735,3,0,0.7,32.95
8.319,12,0,1.0,30.44
3.723,18,1,1.0,24.11
512.13,2,0,0.9,146.93
12.326,21,1,1.0,47.19
28.578,14,0,0.7,62.09
4.561,1,0,0.7,16.89
5.702,4,0,0.7,24.46
10.396,9,1,0.7,40.94
9.684,20,1,1.0,44.94
31.341,6,0,0.9,65.28
30.154,20,1,0.3,116.29
13.289,11,1,0.7,56.44
1509.175,19,1,0.3,281.28
11.254,22,0,1.0,36.43
882.651,2,0,0.9,162.52
16.744,7,0,0.9,39.34
15.056,8,1,1.0,59.08
12.984,14,0,0.7,45.42
24.096,4,0,1.0,55.44
27.929,22,0,1.0,66.66
21.625,2,0,0.3,63.91
1571.002,5,0,0.7,300.14
19.318,17,1,0.3,78.04
10.917,9,1,0.7,39.87
13.188,17,1,0.7,54.72
2008.577,12,0,1.0,318.77
10.611,8,1,0.3,56.1
17.199,11,1,0.9,67.64
25.097,1,0,0.3,61.8
10.388,8,1,0.7,39.5
33.445,5,0,1.0,68.94
451.835,3,0,0.3,152.87
17.968,9,1,0.7,71.24
9.007,16,0,0.7,29.25
16.499,23,0,0.3,46.98
20.806,8,1,0.7,77.84
862.27,15,0,1.0,162.64
27.124,0,0,1.0,56.79
22.14,20,1,0.7,73.9
6.948,18,1,0.7,34.97
11.209,7,0,0.7,34.61
607.716,23,0,0.7,159.91
23.7,11,1,0.7,88.35
22.248,16,0,0.3,54.3
8.089,1,0,1.0,28.86
27.373,21,1,0.7,95.08
1747.583,13,0,0.7,305.76
1593.284,22,0,0.3,314.43
248.144,21,1,0.3,100.36
531.64,8,1,0.3,177.06
34.613,7,0,1.0,69.07
10.002,13,0,0.9,33.18
534.97,21,1,0.9,131.75
12.888,20,1,0.9,53.12
6.321,4,0,0.7,30.54
26.164,16,0,1.0,64.63
1063.193,13,0,1.0,206.25
2062.372,23,0,1.0,302.26
35.457,2,0,0.3,101.56
1766.923,0,0,0.9,256.95
868.526,16,0,0.9,163.73
4.586,10,1,1.0,24.85
24.677,14,0,0.9,58.85
6.498,18,1,0.9,35.03
20.251,9,1,0.3,86.15
12.561,10,1,0.7,51.32
25.635,10,1,1.0,66.07
1986.782,7,0,0.7,295.87
17.524,10,1,0.7,68.16
18.278,11,1,1.0,64.96
8.833,23,0,1.0,31.47
31.366,12,0,1.0,62.72
21.901,20,1,1.0,70.82
2.387,4,0,0.7,17.86
10.26,0,0,0.9,30.97
1506.866,18,1,0.3,264.74
26.582,17,1,0.7,89.78
5.674,14,0,1.0,24.78
1724.467,17,1,0.7,283.23
8.429,20,1,0.7,32.55
15.581,10,1,1.0,60.42
12.862,22,0,0.7,39.82
1199.876,2,0,0.3,229.25
21.724,17,1,0.7,74.34
14.531,21,1,1.0,41.13
4.417,8,1,0.7,27.58
24.851,9,1,1.0,91.81
450.562,11,1,0.7,109.23
532.575,4,0,0.3,163.14
591.765,21,1,0.3,135.81
1987.651,8,1,0.7,296.87
21.835,19,1,1.0,83.21
25.263,9,1,1.0,85.32
11.676,4,0,0.3,34.24
927.282,8,1,0.3,196.48
25.7,15,0,0.7,70.95
6.491,5,0,1.0,25.49
13.49,11,1,0.7,62.12
32.743,7,0,1.0,67.76
16.764,3,0,1.0,42.11
6.045,5,0,0.7,22.67
10.191,16,0,0.7,34.99
23.728,3,0,0.3,63.86
7.26,14,0,0.3,28.36
8.881,8,1,0.9,41.73
2067.091,20,1,0.9,253.67
10.633,16,0,0.7,26.11
292.964,8,1,1.0,121.61
1134.8,22,0,0.7,201.21
6.488,18,1,0.3,39.91
25.156,5,0,1.0,54.28
12.23,7,0,0.3,37.66
925.56,15,0,0.9,165.0
33.088,20,1,0.9,96.52
21.946,17,1,0.7,75.76
18.757,10,1,0.7,68.85
30.485,1,0,1.0,66.67
16.759,6,0,0.9,47.8
13.906,4,0,0.3,50.21
25.905,7,0,0.9,60.75
14.618,7,0,0.9,42.31
20.656,0,0,0.3,55.66
1628.412,4,0,0.3,281.64
20.037,16,0,0.7,52.65
14.167,19,1,0.7,54.45
27.555,17,1,1.0,95.57
12.709,22,0,0.3,42.45
14.33,4,0,0.9,40.15
1903.77,7,0,0.9,297.9
1513.354,18,1,0.7,247.65
7.09,23,0,0.3,26.8
21.099,18,1,1.0,69.06
1737.438,3,0,1.0,261.39
23.256,17,1,0.7,89.8
25.01,1,0,0.7,65.74
9.114,18,1,0.3,43.81
29.159,8,1,0.7,111.21
25.625,11,1,0.3,100.92
3.35,16,0,1.0,21.31
19.795,9,1,0.9,70.16
4.014,23,0,1.0,22.54
5.777,9,1,0.7,29.59
16.946,19,1,0.7,66.01
871.937,0,0,1.0,202.33
1536.406,22,0,1.0,269.36
1510.144,3,0,0.7,242.03
17.558,19,1,1.0,62.04
956.279,15,0,0.7,181.12
1766.645,19,1,0.9,236.95
18.639,12,0,0.7,53.72
18.228,8,1,0.7,75.86
22.686,8,1,1.0,85.86
4.161,6,0,0.9,19.18
22.902,2,0,0.9,57.86
1560.496,4,0,1.0,263.5
873.781,11,1,0.3,201.55
859.571,7,0,0.7,197.66
14.427,3,0,0.9,35.16
20.61,4,0,0.9,50.99
27.828,14,0,0.7,61.22
1157.447,0,0,1.0,201.19
444.505,10,1,0.3,146.53
26.22,14,0,0.3,66.14
12.637,6,0,0.3,45.21
11.782,1,0,0.9,31.89
20.969,23,0,1.0,48.46
24.727,14,0,1.0,58.74
20.296,12,0,1.0,50.61
15.003,9,1,0.7,57.01
12.924,4,0,0.9,36.2
1184.664,3,0,1.0,202.68
2.388,13,0,0.3,16.24
20.676,21,1,0.3,82.51
12.869,23,0,0.7,42.48
27.712,12,0,0.7,67.19
406.496,19,1,0.3,155.3
27.438,18,1,0.9,105.35
22.632,16,0,0.3,64.76
28.559,7,0,1.0,67.65
531.47,0,0,0.7,160.89
26.206,1,0,1.0,59.22
1738.186,0,0,1.0,254.87
452.537,11,1,0.7,151.45
22.393,16,0,0.7,61.28
1945.144,11,1,0.3,358.85
121.354,15,0,0.7,119.42
7.603,9,1,0.9,36.11
23.287,12,0,0.7,59.44
18.02,4,0,0.9,47.0
18.013,9,1,0.7,75.18
18.552,13,0,1.0,42.91
18.912,21,1,1.0,64.3
522.41,0,0,0.7,147.17
23.489,13,0,1.0,51.71
17.814,4,0,1.0,48.21
13.505,11,1,0.7,53.61
4.635,6,0,0.3,22.44
12.875,23,0,1.0,39.16
9.553,19,1,0.7,40.86
13.698,15,0,0.7,39.17
11.129,11,1,0.9,51.36
281.5,2,0,1.0,115.72
18.565,15,0,0.9,42.55
0.816,5,0,0.9,14.05
8.615,15,0,0.3,25.22
2.94,8,1,0.7,25.04
26.698,12,0,0.9,58.24
8.537,16,0,0.9,24.29
438.728,2,0,1.0,140.62
453.314,12,0,1.0,132.05
1577.264,20,1,0.7,234.97
1349.314,15,0,0.3,291.56
20.557,2,0,1.0,49.26
622.358,19,1,1.0,164.31
5.683,2,0,1.0,20.79
24.374,17,1,0.7,84.15
22.27,7,0,0.7,62.62
12.769,15,0,0.9,30.35
28.228,0,0,0.7,57.38
873.113,17,1,0.9,161.4
22.893,3,0,0.7,67.95
11.709,11,1,1.0,51.9
879.335,3,0,1.0,165.02
10.253,2,0,1.0,32.39
25.225,7,0,1.0,56.72
5.141,17,1,1.0,28.29
920.311,8,1,0.7,157.52
16.122,20,1,0.7,62.31
1.03,23,0,1.0,17.19
25.66,14,0,0.7,63.0
1033.602,14,0,0.7,178.17
1196.002,7,0,0.7,199.37
18.552,9,1,0.9,67.74
20.952,12,0,0.9,47.33
5.86,3,0,1.0,22.33
16.28,14,0,0.9,49.42
20.935,15,0,0.7,55.41
13.996,7,0,0.9,43.57
13.806,2,0,0.7,42.88
1723.424,1,0,1.0,269.15
26.181,17,1,0.9,87.6
16.471,6,0,0.9,51.15
515.229,23,0,0.7,172.83
7.113,1,0,0.7,32.66
1579.336,20,1,1.0,270.69
22.518,14,0,0.7,49.49
23.728,9,1,0.9,84.44
24.222,23,0,0.3,75.83
15.382,15,0,0.3,49.79
13.313,2,0,0.7,36.93
15.092,12,0,1.0,39.68
174.998,6,0,1.0,100.73
1311.291,18,1,0.3,232.34
22.612,11,1,0.7,70.86
1588.512,4,0,0.7,243.8
15.194,12,0,0.7,41.37
11.69,21,1,0.9,42.82
8.782,14,0,0.9,26.16
14.084,9,1,0.7,68.57
1084.109,8,1,0.7,192.57
6.554,6,0,0.7,27.32
1981.255,20,1,0.7,301.11
33.014,14,0,0.3,92.95
8.835,0,0,0.3,35.97
21.647,0,0,0.7,59.2
17.988,1,0,1.0,46.68
1752.474,22,0,1.0,255.54
17.509,8,1,1.0,70.28
28.99,5,0,1.0,60.24
1997.199,22,0,0.7,300.24
285.427,22,0,1.0,127.69
1979.253,10,1,0.3,314.44
22.163,10,1,0.3,87.77
12.317,6,0,0.7,39.7
448.239,23,0,0.9,121.45
1093.847,7,0,0.7,217.93
8.705,6,0,0.3,29.6
26.18,11,1,0.7,90.11
24.828,23,0,1.0,62.57
26.01,12,0,0.7,64.62
10.178,1,0,0.9,35.07
16.298,17,1,0.7,56.24
22.614,21,1,0.7,81.58
22.101,17,1,0.3,71.4
23.552,17,1,1.0,78.89
25.881,15,0,1.0,61.33
1169.956,19,1,0.9,221.85
22.063,17,1,0.9,71.7
22.781,5,0,0.3,57.24
23.746,1,0,0.7,66.77
1559.024,15,0,1.0,243.92
10.245,13,0,0.7,37.44
27.199,23,0,1.0,59.41
21.674,18,1,0.9,78.56
29.584,18,1,1.0,107.6
17.858,19,1,0.7,75.92
517.199,8,1,0.7,135.56
13.575,7,0,1.0,39.25
20.435,17,1,1.0,71.26
7.308,11,1,0.9,33.56
6.622,21,1,0.3,30.75
4.885,14,0,1.0,18.73
17.477,22,0,0.7,45.73
1175.769,21,1,1.0,186.75
514.059,16,0,0.7,127.64
21.427,11,1,0.9,62.95
25.803,7,0,0.9,57.41
16.966,12,0,0.7,43.22
21.338,5,0,0.3,52.87
16.933,16,0,1.0,44.85
3.906,7,0,0.7,16.86
1087.538,15,0,0.7,230.82
1456.671,17,1,0.7,247.37
11.824,11,1,0.7,48.89
7.565,21,1,0.3,39.58
249.049,22,0,0.9,118.98
5.244,18,1,0.3,36.77
14.476,3,0,0.9,40.93
14.309,13,0,0.3,43.78
1555.158,16,0,0.7,240.16
1907.69,23,0,1.0,266.39
27.201,18,1,0.7,105.8
6.838,20,1,1.0,37.73
1359.717,14,0,1.0,231.41
1974.912,0,0,0.7,342.44
29.858,6,0,1.0,65.77
9.68,2,0,1.0,27.43
365.654,23,0,0.3,113.57
11.371,3,0,1.0,30.71
27.247,12,0,0.3,75.05
16.572,5,0,0.7,53.72
732.056,17,1,0.7,184.67
13.53,7,0,0.3,36.6
8.317,19,1,0.7,33.36
24.755,15,0,0.7,60.22
1912.005,18,1,0.9,288.11
277.964,23,0,0.3,127.91
15.278,6,0,0.7,40.41
751.895,2,0,0.9,169.89
775.894,20,1,0.3,163.17
17.265,10,1,0.9,61.36
8.401,20,1,0.9,33.33
1879.135,7,0,1.0,277.24
16.626,16,0,0.7,46.58
1651.784,21,1,0.3,336.91
21.073,13,0,0.7,55.41
25.106,19,1,1.0,92.86
20.594,5,0,1.0,52.77
18.757,5,0,0.3,57.86
450.816,16,0,0.3,162.16
1352.739,12,0,0.7,240.27
1749.466,18,1,0.7,274.86
33.069,21,1,0.3,124.93
4.432,1,0,1.0,17.58
1562.256,19,1,1.0,266.12
31.02,9,1,0.7,109.2
428.076,12,0,1.0,123.34
23.16,0,0,0.3,65.56
21.553,0,0,1.0,50.2
8.994,13,0,0.9,33.96
22.747,3,0,1.0,53.18
13.347,14,0,1.0,44.57
21.031,9,1,0.7,80.47
883.344,21,1,0.3,176.77
28.463,19,1,0.9,97.56
35.979,10,1,0.7,115.69
30.747,6,0,0.3,73.17
1586.923,5,0,0.7,222.8
26.546,14,0,1.0,67.53
28.268,12,0,1.0,52.72
485.458,23,0,0.7,150.49
4.846,10,1,0.3,34.48
1247.718,1,0,0.9,212.74
6.792,14,0,0.7,22.1
42.328,13,0,0.7,89.64
12.899,9,1,0.9,48.04
1.558,10,1,1.0,15.16
24.889,10,1,0.3,93.74
526.919,7,0,0.7,124.8
11.473,0,0,0.7,37.59
7.105,16,0,0.3,25.05
9.33,13,0,0.7,33.96
2.292,2,0,0.7,16.78
10.528,6,0,0.3,35.05
33.598,1,0,0.7,79.05
1748.454,1,0,1.0,231.98
31.117,21,1,1.0,107.21
41.781,17,1,1.0,130.34
22.949,18,1,0.7,97.54
